үнэ,хаяг,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:,PricePerArea
110.0,"УБ — Сонгинохайрхан, Москва хороолол",Паркет,1,2010,0,Вакум,12,Бүргэд,40.0,10,0,4,1,2.75
115.0,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,2017,0,Вакум,8,Төмөр,39.0,2,0,2,1,2.948717948717949
180.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 9",Мод,1,2024,0,Вакум,16,Бүргэд,49.0,16,0,3,1,3.673469387755102
130.0,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,1,2011,0,Вакум,12,Бүргэд,38.0,4,1,2,1,3.4210526315789473
175.0,"УБ — Хан-Уул, 19-р хороолол",Паркет,1,2019,0,Вакум,16,Бүргэд,70.16,4,0,3,1,2.4942987457240595
184.0,"УБ — Баянгол, Баянгол, Хороо 8",Паркет,2,2008,1,Вакум,5,Бүргэд,66.4,1,1,3,1,2.7710843373493974
162.0,"УБ — Баянгол, Төмөр зам",Паркет,1,2009,0,Вакум,9,Бүргэд,49.2,8,0,3,1,3.292682926829268
180.0,"УБ — Баянзүрх, 13-р хороолол",Паркет,1,2024,0,Вакум,16,Бүргэд,57.77,7,0,3,1,3.1158040505452655
185.0,"УБ — Баянзүрх, 16-р хороолол",Ламинат,2,1988,0,Вакум,5,Бүргэд,48.0,4,0,5,1,3.8541666666666665
671.0,"УБ — Хан-Уул, Яармаг",Ламинат,2,2023,0,Вакум,5,Төмөр,135.0,4,1,7,1,4.970370370370371
340.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2014,0,Вакум,7,Төмөр,108.4,1,1,3,1,3.136531365313653
404.51,"УБ — Хан-Уул, Хан-Уул, Хороо 23",Паркет,1,2023,1,Вакум,16,Төмөр,90.9,6,0,6,1,4.45005500550055
355.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,2,2009,1,Вакум,6,Бүргэд,102.0,4,1,5,1,3.480392156862745
145.0,"УБ — Баянзүрх, 16-р хороолол",Паркет,1,2020,0,Вакум,13,Бүргэд,51.63,10,1,3,1,2.808444702692233
295.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2020,0,Вакум,6,Төмөр,72.4,4,1,4,1,4.074585635359115
500.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2018,0,Вакум,10,Бүргэд,134.32,7,0,6,1,3.7224538415723645
160.0,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,1989,0,Вакум,9,Бүргэд,29.0,8,0,4,1,5.517241379310345
230.0,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,2016,1,Вакум,9,Бүргэд,72.13,4,1,3,1,3.188687092749203
438.0,"УБ — Хан-Уул, Мишээл",Цемент,2,2024,0,Вакум,16,Бүргэд,73.0,16,0,2,1,6.0
175.0,"УБ — Хан-Уул, UB Town",Паркет,1,2012,0,Вакум,16,Бүргэд,50.31,2,0,2,1,3.47843371099185
185.0,"УБ — Баянгол, Богд-Ар",Паркет,1,2008,0,Вакум,6,Бүргэд,69.0,5,0,3,1,2.681159420289855
156.465,"УБ — Хан-Уул, Яармаг",Паркет,1,2022,1,Вакум,16,Бүргэд,54.9,3,1,2,1,2.85
130.0,"УБ — Хан-Уул, Яармаг",Ламинат,1,2024,0,Вакум,16,Бүргэд,43.21,5,0,2,1,3.008562832677621
331.2,"УБ — Хан-Уул, Зайсан",Паркет,1,2012,0,Вакум,10,Төмөр,92.0,2,0,4,1,3.6
430.92,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1,2013,0,Вакум,10,Төмөр,119.7,2,1,5,1,3.6
160.0,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,1990,0,Вакум,12,Бүргэд,57.0,3,0,3,1,2.807017543859649
155.0,"УБ — Хан-Уул, Нисэх",Паркет,1,2024,0,Вакум,16,Төмөр,55.0,3,0,4,1,2.8181818181818183
165.0,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1,2015,0,Вакум,12,Бүргэд,57.0,2,1,4,1,2.8947368421052633
130.0,"УБ — Баянгол, Алтай хотхон",Паркет,1,2012,0,Вакум,6,Бүргэд,38.0,1,1,1,1,3.4210526315789473
173.952,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1,2024,0,Вакум,12,Бүргэд,48.32,9,1,3,0,3.6
173.196,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1,2024,0,Вакум,12,Бүргэд,48.11,10,1,3,0,3.6
150.0,"УБ — Баянзүрх, Сансар",Паркет,1,1980,0,Вакум,5,Бүргэд,50.0,3,0,3,1,3.0
80.0,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1,2012,0,Вакум,12,Бүргэд,31.0,12,0,1,1,2.5806451612903225
120.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,1,2023,0,Вакум,13,Бүргэд,44.46,10,0,2,0,2.699055330634278
405.0,"УБ — Хан-Уул, River Garden",Паркет,2,2018,0,Вакум,16,Бүргэд,95.0,6,1,4,1,4.2631578947368425
321.0,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1,2016,0,Вакум,10,Бүргэд,100.23,1,0,4,1,3.2026339419335526
415.0,"УБ — Хан-Уул, Хансвилл хотхон",Паркет,1,2013,0,Вакум,16,Бүргэд,117.59,7,1,5,1,3.5292116676588146
134.163,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,1,2024,0,Вакум,13,Бүргэд,49.69,3,0,2,0,2.7
112.968,"УБ — Баянгол, Баянгол, Хороо 18",Паркет,1,2024,0,Вакум,12,Бүргэд,31.38,5,1,2,0,3.6
475.0,"УБ — Хан-Уул, Хансвилл хотхон",Паркет,1,2022,0,Вакум,15,Төмөр,108.0,2,0,4,1,4.398148148148148
136.77,"УБ — Чингэлтэй, Баянбүрд",Паркет,1,2024,1,Вакум,13,Бүргэд,45.59,11,0,2,0,3.0
185.0,"УБ — Налайх, Налайх, Хороо 2",Паркет,2,2022,1,Вакум,9,Бүргэд,67.0,2,1,3,1,2.7611940298507465
594.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 6",Паркет,1,2016,0,Вакум,6,Бүргэд,132.0,2,0,4,1,4.5
134.16,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,1,2024,0,Вакум,13,Бүргэд,49.69,3,0,2,0,2.699939625679211
148.0,"УБ — Баянзүрх, 16-р хороолол",Паркет,1,2017,0,Вакум,12,Бүргэд,59.0,3,1,3,1,2.5084745762711864
156.0,"УБ — Баянзүрх, Офицер",Паркет,1,2024,0,Вакум,16,Бүргэд,55.67,6,0,2,1,2.8022274115322436
245.66,"УБ — Чингэлтэй, Чингэлтэй, Хороо 9",Паркет,2,2024,0,Вакум,13,Бүргэд,76.77,2,0,4,1,3.1999478963136645
250.0,УБ — Хан-Уул,Паркет,1,2024,0,Вакум,16,Төмөр,79.0,6,0,3,1,3.1645569620253164
362.0,"УБ — Хан-Уул, Нархан хотхон",Паркет,0,2011,1,Вакум,8,Төмөр,124.0,2,0,4,1,2.9193548387096775
185.5,"УБ — Баянзүрх, Натур худалдааны төв",Паркет,2,2013,1,Вакум,12,Бүргэд,71.0,12,0,4,1,2.612676056338028
405.0,"УБ — Баянзүрх, Их Монгол хороолол",Паркет,0,2018,1,Вакум,16,Төмөр,89.0,5,0,3,1,4.550561797752809
575.0,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,1,2022,0,Вакум,16,Бүргэд,106.0,6,1,4,1,5.4245283018867925
195.0,"УБ — Хан-Уул, Арцатын ам",Паркет,1,2024,0,Төмөр вакум,14,Төмөр,63.0,13,1,3,1,3.0952380952380953
341.37,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,2,2024,1,Төмөр вакум,8,Төмөр,76.0,4,1,3,0,4.4917105263157895
341.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2012,1,Вакум,9,Бүргэд,110.0,7,0,3,1,3.1
150.0,"УБ — Хан-Уул, Хан-Уул, Хороо 1",Паркет,1,2018,0,Вакум,10,Бүргэд,54.5,1,0,3,1,2.7522935779816513
225.0,"УБ — Баянзүрх, Баянзүрх, Хороо 43",Паркет,1,2014,0,Вакум,15,Төмөр,75.16,7,1,4,1,2.993613624268228
340.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2015,1,Вакум,13,Төмөр вакум,117.0,13,0,4,1,2.905982905982906
244.475,"УБ — Хан-Уул, Яармаг",Паркет,0,2023,0,Вакум,16,Төмөр вакум,69.85,5,0,3,1,3.5
166.0,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 19",Паркет,1,2024,0,Вакум,10,Төмөр вакум,51.0,6,0,2,1,3.2549019607843137
66.0,"УБ — Сонгинохайрхан, Баянхошуу",Паркет,1,2010,0,Вакум,5,Бүргэд,30.0,2,0,1,1,2.2
85.0,"УБ — Сүхбаатар, 5-р хороолол",Паркет,1,2015,0,Вакум,6,Бүргэд,34.7,1,1,2,1,2.4495677233429394
208.0,"УБ — Баянзүрх, Баянзүрх, Хороо 36",Паркет,1,2015,1,Вакум,12,Бүргэд,41.0,12,1,2,1,5.073170731707317
175.0,"УБ — Баянзүрх, 14-р хороолол",Паркет,1,2016,0,Вакум,12,Бүргэд,56.57,5,0,3,1,3.0935124624359203
59.0,"УБ — Сонгинохайрхан, 5 шар",Паркет,1,2014,0,Вакум,15,Бүргэд,20.5,14,0,1,1,2.8780487804878048
180.0,"УБ — Баянзүрх, 13-р хороолол",Цемент,2,2010,0,Вакум,9,Төмөр,61.2,4,0,2,1,2.941176470588235
98.0,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,1,2022,0,Вакум,12,Төмөр,33.0,4,0,2,1,2.9696969696969697
187.04,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 29",Паркет,2,2016,1,Вакум,16,Бүргэд,66.8,8,0,4,1,2.8
490.5,"УБ — Хан-Уул, Мишээл",Цемент,1,2024,0,Вакум,16,Бүргэд,109.0,9,0,5,1,4.5
120.0,"УБ — Сүхбаатар, 100 айл",Паркет,1,2015,0,Вакум,12,Бүргэд,44.0,12,0,2,1,2.727272727272727
369.8,"УБ — Хан-Уул, Хүүшийн ам",Паркет,2,2024,0,Вакум,16,Төмөр,92.45,10,0,6,0,4.0
200.0,"УБ — Баянгол, 10-р хороолол",Паркет,2,2016,0,Вакум,5,Бүргэд,87.0,5,0,6,1,2.2988505747126435
200.0,"УБ — Хан-Уул, Нисэх",Паркет,2,2020,0,Вакум,14,Бүргэд,87.32,8,0,4,1,2.290426019239579
166.0,"УБ — Сонгинохайрхан, Ханын материал",Паркет,1,2024,0,Вакум,9,Бүргэд,58.0,9,0,3,1,2.8620689655172415
248.0,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,1,2023,0,Вакум,16,Бүргэд,69.85,5,1,3,1,3.5504652827487475
577.3,"УБ — Хан-Уул, Яармаг",Паркет,1,2023,1,Вакум,12,Төмөр,134.26,12,1,5,1,4.299865931774169
133.8,"УБ — Баянзүрх, 14-р хороолол",Паркет,1,2015,0,Вакум,13,Вакум,44.01,12,0,2,1,3.0402181322426727
130.0,"УБ — Баянзүрх, 16-р хороолол",Паркет,1,2014,0,Вакум,12,Төмөр,50.0,3,0,2,1,2.6
165.0,УБ — Сүхбаатар,Паркет,1,1997,0,Вакум,5,Вакум,75.0,3,0,4,1,2.2
421.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2021,0,Вакум,6,Бүргэд,98.0,1,1,4,1,4.295918367346939
235.0,"УБ — Хан-Уул, 120 мянгат",Паркет,1,2019,1,Вакум,16,Бүргэд,71.0,7,0,4,1,3.3098591549295775
165.0,"УБ — Хан-Уул, Хан-Уул, Хороо 11",Паркет,1,2023,0,Вакум,16,Бүргэд,55.0,1,0,3,1,3.0
143.0,"УБ — Баянзүрх, 14-р хороолол",Паркет,1,2024,0,Вакум,7,Бүргэд,44.58,2,0,2,1,3.207716464782414
349.0,"УБ — Хан-Уул, Нархан хотхон",Паркет,1,2011,0,Вакум,6,Бүргэд,113.0,6,1,4,1,3.088495575221239
268.953,"УБ — Хан-Уул, Зайсан",Паркет,2,2024,0,Вакум,12,Төмөр,72.69,9,0,3,1,3.6999999999999997
97.5,"УБ — Баянзүрх, Амгалан",Паркет,1,2024,0,Вакум,16,Бүргэд,37.0,14,1,2,0,2.635135135135135
132.525,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,1,2024,0,Вакум,16,Бүргэд,53.01,2,1,2,1,2.5
230.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2024,0,Вакум,10,Төмөр,67.4,7,0,3,1,3.4124629080118694
131.20000000000002,УБ — Сүхбаатар,Паркет,1,2015,0,Вакум,12,Бүргэд,41.0,3,0,2,1,3.2000000000000006
140.4,"УБ — Баянзүрх, Нохойтой хөшөө",Паркет,0,2024,0,Вакум,15,Бүргэд,46.8,4,0,2,0,3.0000000000000004
145.0,"УБ — Сүхбаатар, 100 айл",Паркет,1,2015,0,Вакум,12,Бүргэд,45.0,2,0,2,1,3.2222222222222223
194.0,"УБ — Баянгол, Баянгол, Хороо 9",Паркет,1,2018,0,Вакум,9,Бүргэд,69.3,9,0,3,1,2.7994227994227994
335.0,"УБ — Сүхбаатар, Сүхбаатар, Хороо 16",Паркет,1,2017,0,Вакум,15,Бүргэд,71.0,8,0,4,1,4.71830985915493
335.0,УБ — Сүхбаатар,Паркет,1,2022,0,Вакум,15,Төмөр,72.0,8,1,4,1,4.652777777777778
207.2,"УБ — Хан-Уул, Яармаг",Ламинат,1,2024,0,Вакум,12,Бүргэд,74.0,7,0,3,1,2.8
265.0,"УБ — Баянзүрх, Сансар",Ламинат,1,2005,0,Вакум,10,Төмөр,80.13,9,1,6,1,3.307125920379384
240.0,УБ — Сүхбаатар,Паркет,1,2014,0,Вакум,9,Бүргэд,67.8,3,0,3,1,3.5398230088495577
200.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 4",Мод,1,1980,0,Вакум,3,Вакум,55.0,2,0,3,1,3.6363636363636362
110.0,"УБ — Хан-Уул, Зайсан",Паркет,0,2017,0,Вакум,9,Бүргэд,30.0,2,0,2,1,3.6666666666666665
120.0,"УБ — Баянзүрх, Офицер",Паркет,1,2012,1,Вакум,5,Бүргэд,37.0,3,0,2,1,3.2432432432432434
367.01,"УБ — Хан-Уул, King Tower",Паркет,1,2024,0,Вакум,16,Бүргэд,74.9,2,1,3,1,4.8999999999999995
129.0,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1,2021,0,Вакум,12,Бүргэд,46.15,3,0,2,1,2.7952329360780066
482.03,УБ — Сүхбаатар,Паркет,0,2023,0,Вакум,20,Бүргэд,112.1,15,0,3,1,4.3
150.0,"УБ — Баянзүрх, Баянзүрх, Хороо 14",Паркет,1,2018,0,Вакум,12,Бүргэд,52.62,11,0,3,1,2.8506271379703536
205.0,УБ — Сүхбаатар,Паркет,1,2014,0,Вакум,9,Бүргэд,66.39,7,0,3,1,3.0878144298840184
690.48,"УБ — Хан-Уул, Зайсан",Паркет,1,2014,1,Вакум,11,Төмөр,115.08,9,0,4,1,6.0
490.0,УБ — Сүхбаатар,Паркет,1,2010,1,Вакум,5,Бүргэд,152.0,5,1,7,1,3.223684210526316
160.0,"УБ — Баянзүрх, Баянзүрх, Хороо 5",Паркет,1,2019,0,Вакум,16,Бүргэд,60.81,13,0,2,1,2.631146193060352
230.0,"УБ — Баянзүрх, Баянзүрх, Хороо 18",Паркет,1,2006,0,Вакум,16,Бүргэд,74.72,3,0,2,1,3.0781584582441113
139.11,"УБ — Хан-Уул, Яармаг",Паркет,1,2023,1,Вакум,16,Бүргэд,46.37,8,0,2,0,3.0000000000000004
387.651,"УБ — Хан-Уул, Яармаг",Паркет,1,2022,0,Вакум,15,Төмөр,117.47,5,0,4,1,3.3000000000000003
560.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2021,0,Вакум,16,Бүргэд,130.0,12,0,6,1,4.3076923076923075
203.0,"УБ — Хан-Уул, Зайсан",Паркет,1,2022,0,Вакум,12,Бүргэд,61.51,1,0,3,1,3.300276377824744
350.0,"УБ — Чингэлтэй, Чингэлтэй, Хороо 1",Паркет,1,1980,0,Вакум,4,Мод,80.0,3,0,4,1,4.375
490.2,"УБ — Хан-Уул, King Tower",Паркет,0,2023,0,Вакум,16,Мод,114.0,4,0,6,1,4.3
150.0,"УБ — Хан-Уул, Хурд",Паркет,1,2010,0,Вакум,6,Вакум,41.0,3,0,2,1,3.658536585365854
195.0,"УБ — Баянзүрх, 14-р хороолол",Паркет,0,2016,0,Вакум,16,Төмөр,47.85,14,0,2,1,4.075235109717868
472.3,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,0,2019,0,Вакум,15,Бүргэд,93.0,12,0,3,1,5.0784946236559145
97.2,"УБ — Баянзүрх, Улаанхуаран",Паркет,1,2024,0,Вакум,16,Бүргэд,32.4,4,0,1,1,3.0
193.10799999999998,"Төв, Төв",Паркет,2,2015,0,Вакум,5,Бүргэд,83.96,2,1,4,1,2.3
590.0,"УБ — Хан-Уул, Хан-Уул, Хороо 18",Паркет,1,2015,0,Вакум,13,Төмөр,142.0,12,0,4,1,4.154929577464789
216.7,УБ — Сүхбаатар,Паркет,1,2019,0,Вакум,16,Бүргэд,60.2,9,0,3,1,3.5996677740863783
182.3,УБ — Сүхбаатар,Паркет,1,2022,0,Вакум,16,Бүргэд,47.35,5,0,3,1,3.850052798310454
302.0,"УБ — Баянгол, Баянгол, Хороо 16",Паркет,0,2023,1,Вакум,5,Бүргэд,55.0,3,0,2,1,5.490909090909091
390.402,УБ — Сүхбаатар,Паркет,1,2021,1,Вакум,16,Бүргэд,84.87,6,0,4,1,4.6
200.0,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,1,2010,0,Вакум,12,Бүргэд,52.56,5,0,5,1,3.8051750380517504
118.0,"УБ — Баянзүрх, Баянзүрх дүүрэг",Паркет,1,2020,0,Вакум,12,Бүргэд,39.15,8,1,2,1,3.0140485312899106
350.0,"УБ — Баянзүрх, Баянзүрх, Хороо 25",Паркет,2,2015,0,Вакум,16,Бүргэд,74.0,4,0,4,1,4.72972972972973
280.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2021,1,Вакум,16,Бүргэд,81.32,10,0,4,1,3.443187407771766
412.0,"УБ — Хан-Уул, Арцатын ам",Паркет,2,2022,0,Вакум,5,Бүргэд,103.0,4,0,5,1,4.0
445.0,"УБ — Баянзүрх, 13-р хороолол",Паркет,2,2014,0,Вакум,11,Төмөр вакум,126.4,6,1,8,1,3.5205696202531644
130.752,"УБ — Хан-Уул, Хан-Уул, Хороо 21",Паркет,1,2023,0,Вакум,16,Бүргэд,40.86,7,0,2,1,3.2
573.3000000000001,"УБ — Хан-Уул, Хүннү",Паркет,2,2017,1,Вакум,17,Бүргэд,117.0,1,0,5,1,4.9
149.632,"УБ — Баянзүрх, Монгол Япон эмнэлэг",Паркет,1,2024,0,Модон вакум,9,Төмөр вакум,46.76,3,0,3,1,3.2
175.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2024,0,Вакум,17,Төмөр вакум,56.0,16,0,2,1,3.125
245.0,УБ — Сүхбаатар,Паркет,1,2007,0,Вакум,5,Төмөр вакум,76.88,2,1,3,1,3.1867845993756507
330.0,"УБ — Хан-Уул, Хурд",Паркет,1,2011,0,Вакум,10,Төмөр,99.0,3,0,4,1,3.3333333333333335
370.0,УБ — Сүхбаатар,Паркет,1,2010,1,Вакум,6,Вакум,110.0,3,0,4,1,3.3636363636363638
95.0,"УБ — Сүхбаатар, Бага тойрог",Паркет,1,1980,0,Вакум,4,Төмөр,30.0,4,0,2,1,3.1666666666666665
232.97999999999996,"УБ — Баянзүрх, Офицер",Паркет,2,2024,1,Вакум,15,Төмөр вакум,70.6,2,1,3,1,3.3
99.0,"УБ — Баянзүрх, Баянзүрх, Хороо 16",Паркет,1,2024,0,Вакум,16,Бүргэд,33.0,14,1,1,1,3.0
250.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2024,0,Вакум,16,Бүргэд,64.55,9,1,3,1,3.872966692486445
413.0,"УБ — Баянзүрх, Сансар",Паркет,1,2024,1,Вакум,25,Бүргэд,70.0,22,1,3,1,5.9
345.0,"УБ — Сүхбаатар, 11-р хороолол",Паркет,1,2010,0,Вакум,10,Бүргэд,97.0,4,0,3,1,3.556701030927835
360.0,"УБ — Баянзүрх, Үндэсний цэцэрлэгт хүрээлэн",Паркет,1,2020,0,Вакум,16,Бүргэд,78.0,8,0,3,1,4.615384615384615
198.0,"УБ — Баянзүрх, Баянзүрх, Хороо 2",Паркет,1,2020,0,Вакум,15,Бүргэд,66.0,15,0,5,1,3.0
409.0,"УБ — Хан-Уул, Яармаг",Паркет,0,2022,0,Вакум,10,Бүргэд,92.0,5,1,5,1,4.445652173913044
300.0,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,0,2021,0,Вакум,15,Төмөр,58.0,3,1,2,1,5.172413793103448
153.0,"УБ — Баянзүрх, Баянзүрх, Хороо 5",Паркет,1,2021,0,Вакум,16,Төмөр,42.0,10,0,2,1,3.642857142857143
275.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2020,0,Вакум,7,Бүргэд,92.3,4,0,4,1,2.9794149512459374
250.0,"УБ — Баянгол, Баянгол, Хороо 6",Паркет,1,2014,1,Вакум,7,Бүргэд,77.0,5,1,3,1,3.2467532467532467
207.5,"УБ — Сүхбаатар, Сүхбаатар, Хороо 8",Паркет,0,2024,0,Вакум,25,Төмөр,41.5,23,0,1,0,5.0
330.0,"УБ — Хан-Уул, Зайсан",Паркет,2,2024,0,Вакум,12,Бүргэд,88.0,5,0,3,0,3.75
124.0,"УБ — Хан-Уул, Нисэх",Паркет,1,2024,0,Вакум,16,Бүргэд,49.36,6,0,2,0,2.512155591572123
240.0,"УБ — Хан-Уул, Хүннү",Паркет,1,2020,0,Вакум,16,Бүргэд,68.0,3,0,3,1,3.5294117647058822
345.59999999999997,"УБ — Баянзүрх, Баянзүрх, Хороо 26",Паркет,1,2024,0,Вакум,24,Төмөр,72.0,21,0,4,0,4.8
158.0,"УБ — Баянгол, 3, 4 хороолол",Паркет,1,2012,0,Вакум,12,Бүргэд,55.0,4,1,3,1,2.8727272727272726
150.0,"УБ — Хан-Уул, Нисэх",Паркет,1,2024,0,Вакум,16,Бүргэд,46.19,2,0,2,1,3.247456159341849
179.85,"УБ — Хан-Уул, Яармаг",Паркет,1,2021,0,Вакум,12,Төмөр,54.5,8,0,2,1,3.3
340.0,УБ — Сүхбаатар,Паркет,0,2020,1,Вакум,9,Бүргэд,108.4,1,0,5,1,3.136531365313653
293.93,УБ — Сүхбаатар,Паркет,2,2024,0,Вакум,16,Бүргэд,86.45,6,0,4,0,3.4
273.35,"УБ — Баянгол, 10-р хороолол",Паркет,1,2024,0,Вакум,9,Бүргэд,49.7,4,0,3,1,5.5
426.25,"УБ — Баянгол, 10-р хороолол",Паркет,1,2024,0,Вакум,9,Бүргэд,77.5,5,0,4,1,5.5
93.0,"УБ — Хан-Уул, Яармаг",Паркет,1,2012,0,Вакум,4,Бүргэд,38.0,3,0,1,1,2.4473684210526314
120.0,"УБ — Баянзүрх, Офицер",Паркет,0,2014,1,Вакум,12,Бүргэд,40.0,6,0,2,1,3.0
180.0,"УБ — Баянгол, 25-р эмийн сан",Паркет,0,2012,0,Вакум,12,Бүргэд,57.7,6,0,4,1,3.119584055459272
161.0,"УБ — Баянзүрх, Офицер",Паркет,1,2018,0,Вакум,4,Бүргэд,62.0,4,1,2,1,2.596774193548387
154.8,"УБ — Хан-Уул, Мишээл",Паркет,1,2022,0,Вакум,12,Бүргэд,43.0,9,0,2,1,3.6
665.0,"УБ — Хан-Уул, Хан-Уул, Хороо 16",Паркет,2,2016,1,Вакум,16,Бүргэд,134.0,3,0,4,1,4.962686567164179
152.262,"УБ — Хан-Уул, Нисэх",Паркет,2,2024,0,Вакум,16,Бүргэд,46.14,12,0,3,1,3.3
270.0,"УБ — Баянзүрх, Офицер",Паркет,0,2013,0,Вакум,15,Бүргэд,93.0,15,0,6,1,2.903225806451613
214.0,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1,2021,1,Төмөр вакум,13,Төмөр вакум,67.52,7,0,4,1,3.1694312796208535
150.668,"УБ — Хан-Уул, Яармаг",Паркет,1,2024,1,Вакум,16,Бүргэд,53.81,12,0,3,0,2.8
682.0,"УБ — Хан-Уул, Хан-Уул, Хороо 15",Паркет,1,2021,0,Вакум,16,Вакум,110.0,14,0,4,1,6.2
225.0,"УБ — Баянзүрх, Бөхийн Өргөө",Паркет,1,2012,0,Вакум,10,Төмөр,57.0,1,1,3,1,3.9473684210526314
196.112,"УБ — Хан-Уул, Хан-Уул, Хороо 4",Паркет,1,2021,0,Вакум,16,Бүргэд,70.04,8,0,3,1,2.8
564.0,УБ — Сүхбаатар,Паркет,1,2024,0,Вакум,16,Бүргэд,105.66,8,0,4,1,5.337876206700739
125.0,"УБ — Сонгинохайрхан, Сонгинохайрхан, Хороо 16",Паркет,1,2018,0,Вакум,10,Бүргэд,38.8,10,0,2,1,3.2216494845360826
125.0,"УБ — Хан-Уул, Хан-Уул, Хороо 3",Паркет,1,2018,0,Вакум,5,Бүргэд,47.1,5,0,2,1,2.653927813163482
